NA,PA,PB,NB,MUX,VARX,MUY,VARY,MUD,VARD,ZTRANSFORM,SOLNBINOMIAL,XVAR,YVAR,XBOUND,YBOUND,CONST,SOLNPDF,VARA,VARB,VARC,VARTEST,SOLNCODE
600,0.6,0.3,300,360,144,90,63,180,396,-9.02021,1,4,2,1,1,0.42857,0.57143,3,4,1,88,7
600,0.6,0.35,300,360,144,105,68.25,150,417,-7.32105,1,4,2,1,2,0.15,1.2,3,4,1,150,7
600,0.6,0.4,300,360,144,120,72,120,432,-5.74945,1,4,2,1,3,0.07692,1.84615,3,4,2,88,7
600,0.7,0.15,300,420,126,45,38.25,330,279,-19.72665,1,4,2,2,1,0.07895,0.52632,3,4,2,150,7
600,0.7,0.2,300,420,126,60,48,300,318,-16.79513,1,4,2,2,2,0.03409,1.09091,3,4,3,88,7
600,0.7,0.25,300,420,126,75,56.25,270,351,-14.38485,1,4,2,2,3,0.02,1.68,3,4,3,150,7
600,0.7,0.3,300,420,126,90,63,240,378,-12.31855,1,4,2,3,1,0.02564,0.51282,3,4,4,88,7
600,0.7,0.35,300,420,126,105,68.25,210,399,-10.48812,1,4,2,3,2,0.0119,1.04762,3,4,4,150,7
600,0.7,0.4,300,420,126,120,72,180,414,-8.82194,1,4,2,3,3,0.00741,1.6,4,1,1,88,5
600,0.8,0.15,300,480,96,45,38.25,390,249,-24.68356,1,4,3,1,1,0.35294,0.58824,4,1,1,150,5
600,0.8,0.2,300,480,96,60,48,360,288,-21.18374,1,4,3,1,2,0.11538,1.23077,4,1,2,88,5
600,0.8,0.25,300,480,96,75,56.25,330,321,-18.3909,1,4,3,1,3,0.05714,1.88571,4,1,2,150,5
600,0.8,0.3,300,480,96,90,63,300,348,-16.05489,1,4,3,2,1,0.07317,0.53659,4,1,3,88,5
600,0.8,0.35,300,480,96,105,68.25,270,369,-14.02961,1,4,3,2,2,0.03,1.12,4,1,3,150,5
600,0.8,0.4,300,480,96,120,72,240,384,-12.22193,1,4,3,2,3,0.01695,1.72881,4,1,4,88,5
700,0.4,0.15,350,280,168,52.5,44.625,175,346.5,-9.37441,1,4,3,3,1,0.02469,0.51852,4,1,4,150,5
700,0.4,0.2,350,280,168,70,56,140,392,-7.04581,1,4,3,3,2,0.01111,1.06667,4,2,1,88,6
700,0.4,0.25,350,280,168,87.5,65.625,105,430.5,-5.03651,1,4,3,3,3,0.00673,1.63636,4,2,1,150,6
700,0.4,0.3,350,280,168,105,73.5,70,462,-3.23343,0.99939,4,4,1,1,0.3,0.6,4,2,2,88,6
700,0.4,0.35,350,280,168,122.5,79.625,35,486.5,-1.56415,0.94111,4,4,1,2,0.09375,1.25,4,2,2,150,6
700,0.4,0.4,350,280,168,140,84,0,504,0.02227,0.49112,4,4,1,3,0.04545,1.90909,4,2,3,88,6
700,0.45,0.15,350,315,173.25,52.5,44.625,210,351.75,-11.17035,1,4,4,2,1,0.06818,0.54545,4,2,3,150,6
700,0.45,0.2,350,315,173.25,70,56,175,397.25,-8.75515,1,4,4,2,2,0.02679,1.14286,4,2,4,88,6
700,0.45,0.25,350,315,173.25,87.5,65.625,140,435.75,-6.68275,1,4,4,2,3,0.01471,1.76471,4,2,4,150,6
700,0.45,0.3,350,315,173.25,105,73.5,105,467.25,-4.83439,1,4,4,3,1,0.02381,0.52381,4,3,1,88,7
700,0.45,0.35,350,315,173.25,122.5,79.625,7,491.75,-3.1341,0.99914,4,4,3,2,0.01042,1.08333,4,3,1,150,7
700,0.45,0.4,350,315,173.25,140,84,35,509.25,-1.52881,0.93684,4,4,3,3,0.00617,1.66667,4,3,2,88,7
700,0.5,0.15,350,350,175,52.5,44.625,245,353.5,-13.00422,1,2,2,1,1,0.6,0.6,4,3,2,150,7
700,0.5,0.2,350,350,175,70,56,210,399,-10.48812,1,2,2,1,2,0.1875,1.25,4,3,3,88,7
700,0.5,0.25,350,350,175,87.5,65.625,175,437.5,-8.3427,1,2,2,1,3,0.09091,1.90909,4,3,3,150,7
700,0.5,0.3,350,350,175,105,73.5,140,469,-6.44151,1,2,2,2,1,0.13636,0.54545,4,3,4,88,7
700,0.5,0.35,350,350,175,122.5,79.625,105,493.5,-4.70406,1,2,2,2,2,0.05357,1.14286,4,3,4,150,7
700,0.5,0.4,350,350,175,140,84,70,511,-3.0745,0.99895,2,2,2,3,0.02941,1.76471,4,4,1,88,4
700,0.55,0.15,350,385,173.25,52.5,44.625,28,351.75,-14.90269,1,2,2,3,1,0.04762,0.52381,4,4,1,150,4
700,0.55,0.2,350,385,173.25,70,56,245,397.25,-12.26724,1,2,2,3,2,0.02083,1.08333,4,4,2,88,4
700,0.55,0.25,350,385,173.25,87.5,65.625,21,435.75,-10.03611,1,2,2,3,3,0.01235,1.66667,4,4,2,150,4
700,0.55,0.3,350,385,173.25,105,73.5,175,467.25,-8.07274,1,2,3,1,1,0.46154,0.61538,4,4,3,88,4
700,0.55,0.35,350,385,173.25,122.5,79.625,14,491.75,-6.29074,1,2,3,1,2,0.13636,1.27273,4,4,3,150,4
700,0.55,0.4,350,385,173.25,140,84,105,509.25,-4.63074,1,2,3,1,3,0.06452,1.93548,4,4,4,88,4
700,0.6,0.15,350,420,168,52.5,44.625,315,346.5,-16.89542,1,2,3,2,1,0.12,0.56,4,4,4,150,4
700,0.6,0.2,350,420,168,70,56,280,392,-14.11688,1,2,3,2,2,0.04412,1.17647,1,1,1,88,1
700,0.6,0.25,350,420,168,87.5,65.625,245,430.5,-11.78399,1,2,3,2,3,0.02326,1.81395,1,1,1,150,1
700,0.6,0.3,350,420,168,105,73.5,210,462,-9.74682,1,2,3,3,1,0.04444,0.53333,1,1,2,88,1
700,0.6,0.35,350,420,168,122.5,79.625,175,486.5,-7.91141,1,2,3,3,2,0.01852,1.11111,1,1,2,150,1
700,0.6,0.4,350,420,168,140,84,140,504,-6.21382,1,2,3,3,3,0.01058,1.71429,1,1,3,88,1
700,0.7,0.15,350,49,147,52.5,44.625,385,325.5,-21.31184,1,2,4,1,1,0.375,0.625,1,1,3,150,1
700,0.7,0.2,350,49,147,70,56,35,371,-18.14514,1,2,4,1,2,0.10714,1.28571,1,1,4,88,1
700,0.7,0.25,350,49,147,87.5,65.625,315,409.5,-15.54153,1,2,4,1,3,0.05,1.95,1,1,4,150,1
700,0.7,0.3,350,49,147,105,73.5,28,441,-13.30952,1,2,4,2,1,0.10714,0.57143,1,2,1,88,3
700,0.7,0.35,350,49,147,122.5,79.625,245,465.5,-11.33232,1,2,4,2,2,0.0375,1.2,1,2,1,150,3
700,0.7,0.4,350,49,147,140,84,21,483,-9.53258,1,2,4,2,3,0.01923,1.84615,1,2,2,88,3
700,0.8,0.15,350,560,112,52.5,44.625,455,290.5,-26.66618,1,2,4,3,1,0.04167,0.54167,1,2,2,150,3
700,0.8,0.2,350,560,112,70,56,420,336,-22.8856,1,2,4,3,2,0.01667,1.13333,1,2,3,88,3
700,0.8,0.25,350,560,112,87.5,65.625,385,374.5,-19.86874,1,2,4,3,3,0.00926,1.75,1,2,3,150,3
700,0.8,0.3,350,560,112,105,73.5,350,406,-17.34539,1,3,2,1,1,0.5,0.58333,1,2,4,88,3
700,0.8,0.35,350,560,112,122.5,79.625,315,430.5,-15.15773,1,3,2,1,2,0.16667,1.22222,1,2,4,150,3
700,0.8,0.4,350,560,112,140,84,280,448,-13.20513,1,3,2,1,3,0.08333,1.875,1,3,1,88,3
800,0.4,0.15,400,320,192,60,51,200,396,-10.02525,1,3,2,2,1,0.1,0.53333,1,3,1,150,3
800,0.4,0.2,400,320,192,80,64,160,448,-7.53567,1,3,2,2,2,0.04167,1.11111,1,3,2,88,3
800,0.4,0.25,400,320,192,100,75,120,492,-5.38748,1,3,2,2,3,0.02381,1.71429,1,3,2,150,3
800,0.4,0.3,400,320,192,120,84,80,528,-3.45979,0.99973,3,2,3,1,0.03333,0.51667,1,3,3,88,3
800,0.4,0.35,400,320,192,140,91,40,556,-1.67517,0.95305,3,2,3,2,0.01515,1.06061,1,3,3,150,3
800,0.4,0.4,400,320,192,160,96,0,576,0.02083,0.49169,3,2,3,3,0.00926,1.625,1,3,4,88,3
800,0.45,0.15,400,360,198,60,51,240,402,-11.94517,1,3,3,1,1,0.4,0.6,1,3,4,150,3
800,0.45,0.2,400,360,198,80,64,200,454,-9.363,1,3,3,1,2,0.125,1.25,1,4,1,88,5
800,0.45,0.25,400,360,198,100,75,160,498,-7.14737,1,3,3,1,3,0.06061,1.90909,1,4,1,150,5
800,0.45,0.3,400,360,198,120,84,120,534,-5.17127,1,3,3,2,1,0.09091,0.54545,1,4,2,88,5
800,0.45,0.35,400,360,198,140,91,80,562,-3.35351,0.9996,3,3,2,2,0.03571,1.14286,1,4,2,150,5
800,0.45,0.4,400,360,198,160,96,40,582,-1.63733,0.94922,3,3,2,3,0.01961,1.76471,1,4,3,88,5
800,0.5,0.15,400,400,200,60,51,280,404,-13.90564,1,3,3,3,1,0.03175,0.52381,1,4,3,150,5
800,0.5,0.2,400,400,200,80,64,240,456,-11.21562,1,3,3,3,2,0.01389,1.08333,1,4,4,88,5
800,0.5,0.25,400,400,200,100,75,200,500,-8.92191,1,3,3,3,3,0.00823,1.66667,1,4,4,150,5
800,0.5,0.3,400,400,200,120,84,160,536,-6.88935,1,3,4,1,1,0.33333,0.61111,2,1,1,88,3
800,0.5,0.35,400,400,200,140,91,120,564,-5.03186,1,3,4,1,2,0.1,1.26667,2,1,1,150,3
800,0.5,0.4,400,400,200,160,96,80,584,-3.28973,0.9995,3,4,1,3,0.04762,1.92857,2,1,2,88,3
800,0.55,0.15,400,44,198,60,51,32,402,-15.93521,1,3,4,2,1,0.08333,0.55556,2,1,2,150,3
800,0.55,0.2,400,44,198,80,64,28,454,-13.11758,1,3,4,2,2,0.03125,1.16667,2,1,3,88,3
800,0.55,0.25,400,44,198,100,75,24,498,-10.73225,1,3,4,2,3,0.01667,1.8,2,1,3,150,3
800,0.55,0.3,400,44,198,120,84,2,534,-8.63321,1,3,4,3,1,0.0303,0.5303,2,1,4,88,3
800,0.55,0.35,400,44,198,140,91,16,562,-6.7281,1,3,4,3,2,0.01282,1.10256,2,1,4,150,3
800,0.55,0.4,400,44,198,160,96,12,582,-4.95343,1,3,4,3,3,0.00741,1.7,2,2,1,88,2
800,0.6,0.15,400,480,192,60,51,360,396,-18.06555,1,4,2,1,1,0.42857,0.57143,2,2,1,150,2
800,0.6,0.2,400,480,192,80,64,320,448,-15.09496,1,4,2,1,2,0.15,1.2,2,2,2,88,2
800,0.6,0.25,400,480,192,100,75,280,492,-12.60083,1,4,2,1,3,0.07692,1.84615,2,2,2,150,2
800,0.6,0.3,400,480,192,120,84,240,528,-10.4229,1,4,2,2,1,0.07895,0.52632,2,2,3,88,2
800,0.6,0.35,400,480,192,140,91,200,556,-8.46068,1,4,2,2,2,0.03409,1.09091,2,2,3,150,2
800,0.6,0.4,400,480,192,160,96,160,576,-6.64583,1,4,2,2,3,0.02,1.68,2,2,4,88,2
800,0.7,0.15,400,560,168,60,51,440,372,-22.78701,1,4,2,3,1,0.02564,0.51282,2,2,4,150,2
800,0.7,0.2,400,560,168,80,64,400,424,-19.40144,1,4,2,3,2,0.0119,1.04762,2,3,1,88,3
800,0.7,0.25,400,560,168,100,75,360,468,-16.61789,1,4,2,3,3,0.00741,1.6,2,3,1,150,3
800,0.7,0.3,400,560,168,120,84,320,504,-14.23166,1,4,3,1,1,0.35294,0.58824,2,3,2,88,3
800,0.7,0.35,400,560,168,140,91,280,532,-12.11786,1,4,3,1,2,0.11538,1.23077,2,3,2,150,3
800,0.7,0.4,400,560,168,160,96,240,552,-10.1938,1,4,3,1,3,0.05714,1.88571,2,3,3,88,3
800,0.8,0.15,400,640,128,60,51,520,332,-28.51127,1,4,3,2,1,0.07317,0.53659,2,3,3,150,3
800,0.8,0.2,400,640,128,80,64,480,384,-24.46938,1,4,3,2,2,0.03,1.12,2,3,4,88,3
800,0.8,0.25,400,640,128,100,75,440,428,-21.24403,1,4,3,2,3,0.01695,1.72881,2,3,4,150,3
800,0.8,0.3,400,640,128,120,84,400,464,-18.54632,1,4,3,3,1,0.02469,0.51852,2,4,1,88,6
800,0.8,0.35,400,640,128,140,91,360,492,-16.20751,1,4,3,3,2,0.01111,1.06667,2,4,1,150,6
800,0.8,0.4,400,640,128,160,96,320,512,-14.12004,1,4,3,3,3,0.00673,1.63636,2,4,2,88,6
900,0.4,0.15,450,360,216,67.5,57.375,225,445.5,-10.63635,1,4,4,1,1,0.3,0.6,2,4,2,150,6
900,0.4,0.2,450,360,216,90,72,180,504,-7.99557,1,4,4,1,2,0.09375,1.25,2,4,3,88,6
900,0.4,0.25,450,360,216,112.5,84.375,135,553.5,-5.71694,1,4,4,1,3,0.04545,1.90909,2,4,3,150,6
900,0.4,0.3,450,360,216,135,94.5,90,594,-3.67223,0.99988,4,4,2,1,0.06818,0.54545,2,4,4,88,6
900,0.4,0.35,450,360,216,157.5,102.375,45,625.5,-1.77929,0.9624,4,4,2,2,0.02679,1.14286,2,4,4,150,6
900,0.4,0.4,450,360,216,180,108,0,648,0.01964,0.49216,4,4,2,3,0.01471,1.76471,3,1,1,88,3
900,0.45,0.15,450,405,222.75,67.5,57.375,270,452.25,-12.67271,1,4,4,3,1,0.02381,0.52381,3,1,1,150,3
900,0.45,0.2,450,405,222.75,90,72,225,510.75,-9.93373,1,4,4,3,2,0.01042,1.08333,3,1,2,88,3
900,0.45,0.25,450,405,222.75,112.5,84.375,180,560.25,-7.58357,1,4,4,3,3,0.00617,1.66667,3,1,2,150,3
900,0.45,0.3,450,405,222.75,135,94.5,135,600.75,-5.48751,1,2,2,1,1,0.6,0.6,3,1,3,88,3
900,0.45,0.35,450,405,222.75,157.5,102.375,90,632.25,-3.55941,0.99981,2,2,1,2,0.1875,1.25,3,1,3,150,3
900,0.45,0.4,450,405,222.75,180,108,45,654.75,-1.73909,0.95899,2,2,1,3,0.09091,1.90909,3,1,4,88,3
900,0.5,0.15,450,450,225,67.5,57.375,315,454.5,-14.7521,1,2,2,2,1,0.13636,0.54545,3,1,4,150,3
900,0.5,0.2,450,450,225,90,72,270,513,-11.89872,1,2,2,2,2,0.05357,1.14286,3,2,1,88,3
900,0.5,0.25,450,450,225,112.5,84.375,225,562.5,-9.46575,1,2,2,2,3,0.02941,1.76471,3,2,1,150,3
900,0.5,0.3,450,450,225,135,94.5,180,603,-7.30981,1,2,2,3,1,0.04762,0.52381,3,2,2,88,3
900,0.5,0.35,450,450,225,157.5,102.375,135,634.5,-5.33957,1,2,2,3,2,0.02083,1.08333,3,2,2,150,3
900,0.5,0.4,450,450,225,180,108,90,657,-3.49173,0.99976,2,2,3,3,0.01235,1.66667,3,2,3,88,3
900,0.55,0.15,450,495,222.75,67.5,57.375,36,452.25,-16.90478,1,2,3,1,1,0.46154,0.61538,3,2,3,150,3
900,0.55,0.2,450,495,222.75,90,72,315,510.75,-13.91607,1,2,3,1,2,0.13636,1.27273,3,2,4,88,3
900,0.55,0.25,450,495,222.75,112.5,84.375,27,560.25,-11.38591,1,2,3,1,3,0.06452,1.93548,3,2,4,150,3
900,0.55,0.3,450,495,222.75,135,94.5,225,600.75,-9.15945,1,2,3,2,1,0.12,0.56,3,3,1,88,3
900,0.55,0.35,450,495,222.75,157.5,102.375,18,632.25,-7.13871,1,2,3,2,2,0.04412,1.17647,3,3,1,150,3
900,0.55,0.4,450,495,222.75,180,108,135,654.75,-5.25635,1,2,3,2,3,0.02326,1.81395,3,3,2,88,3
900,0.6,0.15,450,540,216,67.5,57.375,405,445.5,-19.16438,1,2,3,3,1,0.04444,0.53333,3,3,2,150,3
900,0.6,0.2,450,540,216,90,72,360,504,-16.0134,1,2,3,3,2,0.01852,1.11111,3,3,3,88,3
900,0.6,0.25,450,540,216,112.5,84.375,315,553.5,-13.36786,1,2,3,3,3,0.01058,1.71429,3,3,3,150,3
900,0.6,0.3,450,540,216,135,94.5,270,594,-11.05772,1,2,4,1,1,0.375,0.625,3,3,4,88,3
900,0.6,0.35,450,540,216,157.5,102.375,225,625.5,-8.97641,1,2,4,1,2,0.10714,1.28571,3,3,4,150,3
900,0.6,0.4,450,540,216,180,108,180,648,-7.05143,1,2,4,1,3,0.05,1.95,3,4,1,88,7
900,0.7,0.15,450,630,189,67.5,57.375,495,418.5,-24.17233,1,2,4,2,1,0.10714,0.57143,3,4,1,150,7
900,0.7,0.2,450,630,189,90,72,450,477,-20.58119,1,2,4,2,2,0.0375,1.2,3,4,2,88,7
900,0.7,0.25,450,630,189,112.5,84.375,405,526.5,-17.62866,1,2,4,2,3,0.01923,1.84615,3,4,2,150,7
900,0.7,0.3,450,630,189,135,94.5,360,567,-15.09758,1,2,4,3,1,0.04167,0.54167,3,4,3,88,7
900,0.7,0.35,450,630,189,157.5,102.375,315,598.5,-12.85549,1,2,4,3,2,0.01667,1.13333,3,4,3,150,7
900,0.7,0.4,450,630,189,180,108,270,621,-10.81466,1,2,4,3,3,0.00926,1.75,3,4,4,88,7
900,0.8,0.15,450,720,144,67.5,57.375,585,373.5,-30.244,1,3,2,1,1,0.5,0.58333,3,4,4,150,7
900,0.8,0.2,450,720,144,90,72,540,432,-25.95671,1,3,2,1,2,0.16667,1.22222,4,1,1,88,5
900,0.8,0.25,450,720,144,112.5,84.375,495,481.5,-22.53555,1,3,2,1,3,0.08333,1.875,4,1,1,150,5
900,0.8,0.3,450,720,144,135,94.5,450,522,-19.67408,1,3,2,2,1,0.1,0.53333,4,1,2,88,5
900,0.8,0.35,450,720,144,157.5,102.375,405,553.5,-17.19332,1,3,2,2,2,0.04167,1.11111,4,1,2,150,5
900,0.8,0.4,450,720,144,180,108,360,576,-14.97917,1,3,2,2,3,0.02381,1.71429,4,1,3,88,5
1000,0.4,0.15,500,400,240,75,63.75,250,495,-11.21419,1,3,2,3,1,0.03333,0.51667,4,1,3,150,5
1000,0.4,0.2,500,400,240,100,80,200,560,-8.43041,1,3,2,3,2,0.01515,1.06061,4,1,4,88,5
1000,0.4,0.25,500,400,240,125,93.75,150,615,-6.02842,1,3,2,3,3,0.00926,1.625,4,1,4,150,5
